area_sqft,bedrooms,bathrooms,year_built,garage_spaces,lot_size,overall_qual,distance_to_city_km,neighborhood,house_style,heating_type,has_pool,has_basement,central_air,sale_price
3242,3,1.5,1967,2,3824.0,8,11.8,Hillside,Single_Family,Gas,0,1,1,465337
1534,2,3.0,1966,0,5486.0,9,2.1,Downtown,Single_Family,Oil,0,0,1,358949
1651,3,2.0,1989,2,7364.0,5,13.3,Hillside,Single_Family,Gas,0,0,1,365008
2567,1,1.0,1998,1,6355.0,9,1.1,Downtown,Single_Family,,1,0,1,570158
2373,4,2.5,2006,1,6556.0,8,4.7,Lakeside,Duplex,Electric,1,1,0,329433
891,4,1.5,1973,2,5329.0,8,0.5,Downtown,Single_Family,Electric,0,0,1,241450
756,5,2.0,2008,2,1822.0,8,4.3,Suburb_East,Single_Family,Oil,0,1,1,208260
1032,2,3.0,1970,1,7273.0,9,0.5,Suburb_South,Townhouse,Gas,0,1,1,144652
1145,3,3.0,1965,1,9595.0,8,8.7,Suburb_North,Single_Family,Gas,0,1,1,267327
2265,3,1.0,2001,2,4405.0,7,1.8,Suburb_North,Single_Family,Gas,0,0,1,348956
2154,3,3.0,1959,2,3711.0,8,4.8,Suburb_South,Single_Family,Gas,0,1,0,250062
2316,2,2.5,2009,2,6817.0,7,2.7,Rural,Single_Family,Gas,0,1,1,277667
1473,3,3.0,1973,2,4840.0,4,11.8,Suburb_East,Condo,Electric,0,1,1,164975
3094,4,3.5,2021,1,6762.0,7,1.7,Rural,Single_Family,Oil,0,0,1,337691
2017,3,4.0,1965,1,3872.0,10,7.5,Suburb_West,Single_Family,Gas,0,1,0,311792
1359,4,2.0,2018,2,,8,25.5,Suburb_North,Single_Family,Gas,0,1,1,240067
3335,4,2.0,1996,3,10411.0,5,0.5,Suburb_West,Townhouse,Electric,0,1,1,334711
1053,4,2.5,2018,3,4940.0,8,10.9,Rural,Single_Family,Oil,0,1,1,182687
2231,4,1.0,1985,1,7708.0,6,9.1,Suburb_West,Condo,Electric,0,1,1,240643
1569,3,1.0,1962,1,8708.0,8,10.1,Downtown,Single_Family,Electric,0,1,0,356660
2618,4,4.0,2002,1,5396.0,6,28.1,Downtown,Townhouse,Electric,0,1,1,415338
1762,4,2.0,1975,1,9767.0,6,1.9,Rural,Condo,Electric,0,1,0,180698
1863,4,2.0,2015,1,11917.0,7,7.6,Lakeside,Duplex,Electric,0,0,1,286289
866,3,2.0,2016,2,8030.0,6,14.7,Suburb_East,Single_Family,,0,1,1,176560
2105,2,1.5,2016,2,13012.0,8,0.7,Downtown,Townhouse,Electric,0,0,1,351175
1638,3,2.5,1998,0,9799.0,9,13.4,Hillside,Condo,Electric,0,1,0,244049
1944,1,1.0,1964,0,9645.0,6,0.9,Suburb_South,Condo,Electric,0,1,1,181110
2518,5,4.0,1967,1,9431.0,10,17.1,Hillside,Townhouse,Gas,0,1,1,427518
1318,4,2.0,1970,2,9946.0,5,6.2,Suburb_North,Single_Family,Electric,0,0,1,189807
1709,1,4.0,1985,1,2227.0,7,6.0,Lakeside,Single_Family,Gas,0,0,1,274907
2058,3,2.5,1965,2,4588.0,7,0.5,Downtown,Single_Family,Gas,0,1,0,413915
2193,2,2.0,1970,1,1451.0,7,9.9,Downtown,Duplex,Gas,0,0,1,248167
1328,3,2.0,1990,2,8161.0,7,53.2,Suburb_East,Duplex,Electric,0,0,1,141384
1525,1,2.0,2004,1,7248.0,3,7.9,Suburb_North,Single_Family,Gas,0,0,0,224832
3189,2,2.0,1989,3,3901.0,9,4.1,Lakeside,Single_Family,Electric,0,1,1,595975
1462,4,3.5,1995,1,1000.0,5,16.3,Hillside,Condo,Gas,0,1,1,200524
2383,2,3.0,1987,2,5241.0,7,5.3,Lakeside,Single_Family,Oil,1,1,0,364845
2435,3,1.5,1982,1,6130.0,8,6.4,Hillside,Townhouse,Electric,1,1,1,362810
1176,6,2.5,1988,2,6739.0,6,5.3,Hillside,Single_Family,Electric,0,1,1,192538
